fuente_sitio,dataset,url_origen,grupo,tema,fecha_extraccion,pais,region,periodo,indicador,categoria_energia,tecnologia,actor,item,valor,unidad
World Resources Institute,global_power_plant_database,https://purl.org/wri/grid/gpv2,energia-y-sustentabilidad-1,Impacto ambiental de la energia,2026-04-28 05:45:58,Angola,AGO,2026,capacidad_generacion,Renovable,Hydro,General Utility,Rio Luachimo - Hydro,16.0,MW
World Resources Institute,global_power_plant_database,https://purl.org/wri/grid/gpv2,energia-y-sustentabilidad-1,Impacto ambiental de la energia,2026-04-28 05:45:58,Angola,AGO,2026,capacidad_generacion,Fosil,Oil,General Utility,Xitoto - Oil,11.34,MW
World Resources Institute,global_power_plant_database,https://purl.org/wri/grid/gpv2,energia-y-sustentabilidad-1,Impacto ambiental de la energia,2026-04-28 05:45:58,Antarctica,ATA,2026,capacidad_generacion,Fosil,Oil,General Utility,McMurdo Station Generator - Oil,6.6,MW
World Resources Institute,global_power_plant_database,https://purl.org/wri/grid/gpv2,energia-y-sustentabilidad-1,Impacto ambiental de la energia,2026-04-28 05:45:58,Antarctica,ATA,2026,capacidad_generacion,Renovable,Wind,Meridian Energy,Ross Island - Wind,1.0,MW
World Resources Institute,global_power_plant_database,https://purl.org/wri/grid/gpv2,energia-y-sustentabilidad-1,Impacto ambiental de la energia,2026-04-28 05:45:58,Argentina,ARG,2026,capacidad_generacion,Fosil,Other,CAPEX SA,AGUA DEL CAJON (AUTOGENERADOR DEL MEM) - Other,479.2,MW
World Resources Institute,global_power_plant_database,https://purl.org/wri/grid/gpv2,energia-y-sustentabilidad-1,Impacto ambiental de la energia,2026-04-28 05:45:58,Argentina,ARG,2026,capacidad_generacion,Fosil,Gas,CAPEX SA,AGUA DEL CAJON (GENERADOR DEL MEM) - Gas,192.0,MW
World Resources Institute,global_power_plant_database,https://purl.org/wri/grid/gpv2,energia-y-sustentabilidad-1,Impacto ambiental de la energia,2026-04-28 05:45:58,Argentina,ARG,2026,capacidad_generacion,Renovable,Hydro,HIDISA,AGUA DEL TORO - Hydro,130.0,MW
World Resources Institute,global_power_plant_database,https://purl.org/wri/grid/gpv2,energia-y-sustentabilidad-1,Impacto ambiental de la energia,2026-04-28 05:45:58,Argentina,ARG,2026,capacidad_generacion,Renovable,Hydro,AES ARGENTINA GENERACION S.A.,ALICURA - Hydro,1050.0,MW
World Resources Institute,global_power_plant_database,https://purl.org/wri/grid/gpv2,energia-y-sustentabilidad-1,Impacto ambiental de la energia,2026-04-28 05:45:58,Argentina,ARG,2026,capacidad_generacion,Fosil,Oil,C.T. ALMIRANTE BROWN SA,ALMIRANTE BROWN - Oil,25.0,MW
World Resources Institute,global_power_plant_database,https://purl.org/wri/grid/gpv2,energia-y-sustentabilidad-1,Impacto ambiental de la energia,2026-04-28 05:45:58,Argentina,ARG,2026,capacidad_generacion,Fosil,Gas,CT ALTO VALLE SA,ALTO VALLE - Gas,97.5,MW
World Resources Institute,global_power_plant_database,https://purl.org/wri/grid/gpv2,energia-y-sustentabilidad-1,Impacto ambiental de la energia,2026-04-28 05:45:58,Argentina,ARG,2026,capacidad_generacion,Fosil,Oil,EPEN,ALUMINE - Oil,1.904,MW
