item,pais,tecnologia,categoria_energia,capacidad_mw,prediction,cluster_dbscan
SANTA ISABEL - Oil,Argentina,Oil,Fosil,2.25,2,1
SANTO TOME - Oil,Argentina,Oil,Fosil,2.684,2,1
SORRENTO - Coal,Argentina,Coal,Fosil,226.0,0,0
SUDOESTE - Gas,Argentina,Gas,Fosil,140.0,2,1
Saujil - Solar,Argentina,Solar,Renovable,22.5,0,0
TARTAGAL - Gas,Argentina,Gas,Fosil,17.0,2,1
TENARIS SIDERCA CETE II - Gas,Argentina,Gas,Fosil,163.20000000000002,2,1
TOSTADO - Oil,Argentina,Oil,Fosil,3.2,2,1
ULLUM - Hydro,Argentina,Hydro,Renovable,42.0,0,0
URUGUA-I - Hydro,Argentina,Hydro,Renovable,120.0,0,0
VENADO TUERTO - Oil,Argentina,Oil,Fosil,9.1,2,1
VILLA GESELL - Gas,Argentina,Gas,Fosil,130.0,2,1
VILLA MARIA (LAS PLAYAS) - Gas,Argentina,Gas,Fosil,48.0,2,1
VUELTA DE OBLIGADO - Gas,Argentina,Gas,Fosil,560.0,2,1
YACYRETA - Hydro,Argentina,Hydro,Renovable,1550.0,1,-1
Armenian-2 - Nuclear,Armenia,Nuclear,Fosil,375.0,0,0
Hrazadan - Gas,Armenia,Gas,Fosil,1110.0,1,1
New Yerevan - Gas,Armenia,Gas,Fosil,271.0,2,1
Sevan-Hrazdan Cascade - Hydro,Armenia,Hydro,Renovable,561.0,0,0
Shamb - Hydro,Armenia,Hydro,Renovable,170.0,0,0
Spandaryan - Hydro,Armenia,Hydro,Renovable,76.0,0,0
Tatev - Hydro,Armenia,Hydro,Renovable,158.0,0,0
Yerevan - Gas,Armenia,Gas,Fosil,550.0,2,1
Adelaide Showgrounds - Solar,Australia,Solar,Renovable,1.0,0,0
Albany Wind Farm - Wind,Australia,Wind,Renovable,21.6,0,0
Amcor Gawler - Oil,Australia,Oil,Fosil,4.0,2,1
Angaston - Oil,Australia,Oil,Fosil,50.0,2,1
Anglesea - Coal,Australia,Coal,Fosil,165.0,0,0
Angurugu - Oil,Australia,Oil,Fosil,3.6,2,1
Appin (Mine) - Gas,Australia,Gas,Fosil,55.6,2,1
Ararat Wind Farm - Wind,Australia,Wind,Renovable,240.0,0,0
Argyle Diamond Mine - Oil,Australia,Oil,Fosil,32.0,2,1
Bairnsdale - Gas,Australia,Gas,Fosil,94.0,2,1
Ballarat Base Hospital - Gas,Australia,Gas,Fosil,3.0,2,1
Banimboola - Hydro,Australia,Hydro,Renovable,12.85,0,0
Bankstown Sports Club - Oil,Australia,Oil,Fosil,2.0,2,1
Bannerton Solar Farm - Solar,Australia,Solar,Renovable,88.0,0,0
Barcaldine (Len Wishaw) - Gas,Australia,Gas,Fosil,37.0,2,1
Barcaldine KDB - Solar,Australia,Solar,Renovable,20.0,0,0
Barcaldine YD - Solar,Australia,Solar,Renovable,10.9,0,0
Barron Gorge - Hydro,Australia,Hydro,Renovable,60.0,0,0
Bastyan - Hydro,Australia,Hydro,Renovable,79.9,0,0
Bayswater - Coal,Australia,Coal,Fosil,2640.0,1,-1
Belconnen - Waste,Australia,Waste,Fosil,1.0,0,0
Bell Bay (Bell Bay Three) - Gas,Australia,Gas,Fosil,115.0,2,1
Bendeela (Shoalhaven Scheme) - Hydro,Australia,Hydro,Renovable,240.0,0,0
Berrimah - Gas,Australia,Gas,Fosil,10.0,2,1
Berwick - Waste,Australia,Waste,Fosil,7.2,0,0
